2021-12-24 - 12:21:24 -  127.0.0.1 | C:\xampp\htdocs\realtor.bsstrategies.com\index.php | Windows 10 | Mozila | From: direct connection | user agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:92.0) Gecko/20100101 Firefox/92.0
2021-12-24 - 12:21:42 -  127.0.0.1 | C:/xampp/htdocs/realtor.bsstrategies.com/index.php | Windows 10 | Mozila | From: direct connection | user agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:92.0) Gecko/20100101 Firefox/92.0
2021-12-24 - 12:21:52 -  127.0.0.1 | ./index.php | Windows 10 | Mozila | From: direct connection | user agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:92.0) Gecko/20100101 Firefox/92.0
2021-12-24 - 12:21:55 -  127.0.0.1 | /index.php | Windows 10 | Mozila | From: direct connection | user agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:92.0) Gecko/20100101 Firefox/92.0
2021-12-24 - 12:24:48 -  192.168.1.143 | ./index.php | Windows 10 | Mozila | From: direct connection | user agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:92.0) Gecko/20100101 Firefox/92.0
2021-12-24 - 12:25:04 -  192.168.1.143 | index.php | Windows 10 | Mozila | From: direct connection | user agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:92.0) Gecko/20100101 Firefox/92.0
2021-12-24 - 12:26:10 -  192.168.1.143 | index.hp | Windows 10 | Mozila | From: direct connection | user agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:92.0) Gecko/20100101 Firefox/92.0
2021-12-24 - 12:33:28 -  127.0.0.1 | logger.php | Windows 10 | Mozila | From: direct connection | user agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:92.0) Gecko/20100101 Firefox/92.0
2021-12-28 - 02:17:14 -  ::1 | index.php | Windows 10 | Chrome | From: direct connection | user agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36
2022-01-02 - 05:31:45 -  ::1 | index.php | Windows 10 | Chrome | From: direct connection | user agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36
2022-01-02 - 05:33:14 -  ::1 | index.php | Windows 10 | Chrome | From: direct connection | user agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36
2022-02-08 - 02:13:46 -  ::1 | index.php | Windows 10 | Chrome | From: direct connection | user agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36
2022-02-14 - 02:09:06 -  ::1 | index.php | Windows 10 | Chrome | From: direct connection | user agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.82 Safari/537.36
